thresh_type,thresh,block,plot,year,max_gi,max_gi_doy,greenup_doy,senesc_doy,gs_length,gs_integral
global,gi3410,3,5,2020,0.350715895,163.3977905,112.6849707,242.5525175,129.8675468,40.61987539
global,gi3410,3,6,2020,0.341346349,219.9255419,210.827995,234.5176339,23.68963885,27.39960761
global,gi3410,3,7,2020,0.342146992,162.3322141,130.5144026,190.2225819,59.70817926,29.5453814
global,gi3410,3,8,2020,0.344502116,164.8201688,122.0623947,232.7648192,110.7024245,32.52926024
global,gi3410,3,9,2020,0.345628647,164.9749907,120.0050174,267.7949538,147.7899364,37.00385285
global,gi3410,3,10,2020,0.343746628,165.1797678,127.8743595,217.9007526,90.0263931,31.27443902
global,gi3410,3,11,2020,0.344620789,166.7734541,126.0546066,217.3419002,91.28729363,30.81299774
global,gi3410,3,12,2020,0.341342539,175.4757168,157.9607576,189.1918059,31.23104835,26.77758317
global,gi3410,4,1,2020,0.347531577,172.6442198,124.1128614,217.0132071,92.90034571,34.10478461
global,gi3410,4,2,2020,0.353902386,176.6699364,118.6023079,278.9798841,160.3775762,51.72316397
global,gi3410,4,3,2020,0.350783504,173.8001538,115.7194716,234.5726579,118.8531862,41.80588196
global,gi3410,4,4,2020,0.345479935,176.0293338,132.3102732,215.1999918,82.88971865,34.88704552
global,gi3410,4,5,2020,0.344866261,175.9137236,125.2763043,227.8393557,102.5630514,33.12355171
global,gi3410,4,6,2020,0.350689695,175.6824173,119.7850356,288.278664,168.4936284,44.45362163
global,gi3410,4,7,2020,0.341868479,175.4446532,146.0405277,205.8177134,59.77718573,27.28060844
global,gi3410,4,8,2020,0.347736312,175.8067864,124.6060704,274.7299006,150.1238302,39.63303485
global,gi3410,4,9,2020,0.352251107,184.1004573,117.9196526,295.8167519,177.8970994,53.1918369
global,gi3410,4,10,2020,0.345170672,176.568122,128.9121397,284.4355596,155.5234199,38.85596439
global,gi3410,4,11,2020,0.342251541,213.7670563,157.4033906,266.7533602,109.3499696,31.22899308
global,gi3410,4,12,2020,0.345236412,178.0881141,135.0613722,274.3727828,139.3114106,35.23423447
global,gi3410,5,1,2020,0.345547027,160.3069548,110.5393952,267.3732607,156.8338654,37.78947096
global,gi3410,5,2,2020,0.348029209,163.6571246,114.5023024,263.5750332,149.0727308,39.91686734
global,gi3410,5,3,2020,0.342604365,163.0564705,127.9367532,196.9810117,69.04425849,30.2488028
global,gi3410,5,4,2020,0.35031631,163.0527632,107.2024942,267.965086,160.7625917,45.02072363
global,gi3410,5,5,2020,0.346775011,162.919063,111.7226386,285.6045765,173.8819379,40.45970851
global,gi3410,5,6,2020,0.345741904,164.4359261,117.1582514,278.2482472,161.0899958,38.19380699
global,gi3410,5,7,2020,0.344574227,162.7973194,117.0344355,257.0259164,139.9914809,35.26594595
global,gi3410,5,8,2020,0.342685332,168.5550849,128.9594467,267.6475024,138.6880558,34.06337982
global,gi3410,5,9,2020,0.341467494,161.5877648,138.8155662,176.865847,38.05028084,28.88165799
global,gi3410,5,10,2020,0.343030115,166.810183,134.3224045,206.827632,72.50522751,31.58855484
